stock,total_score,raw_momentum_6m,raw_momentum_3m,raw_momentum_1m,volatility_adjusted,smooth_momentum,consistency_score,trend_strength,momentum_12_2,fip_quality,calculated_date,created_at
SYRMA.NS,0.9337,0.6911,0.5441,0.2023,0.3603,0.5717,0.6333,1.0,0.4766,0.4,2025-09-08,2025-09-07 19:42:05
PAYTM.NS,0.9251,0.4933,0.37,0.0897,0.3059,0.4395,0.5833,1.0,0.3653,0.6,2025-09-08,2025-09-07 19:42:04
BOSCHLTD.NS,0.9218,0.5303,0.2868,0.06,0.2715,0.3279,0.6167,1.0,0.1882,0.2,2025-09-08,2025-09-07 19:42:04
HBLENGINE.NS,0.9212,0.7224,0.4622,0.1303,0.2162,0.5654,0.6,1.0,0.0,0.1111,2025-09-08,2025-09-07 19:42:05
NETWEB.NS,0.9199,1.1113,0.7392,0.4995,0.2433,0.579,0.5333,1.0,0.1073,0.0,2025-09-08,2025-09-07 19:42:05
ANANDRATHI.NS,0.9197,0.666,0.4199,0.0858,0.2517,0.4531,0.5167,1.0,0.4516,0.2,2025-09-08,2025-09-07 19:42:05
NUVOCO.NS,0.9171,0.445,0.3205,0.0283,0.3593,0.3098,0.6333,1.0,0.3543,0.2,2025-09-08,2025-09-07 19:42:05
KIOCL.NS,0.9118,0.8972,0.5378,0.3722,0.1573,0.4713,0.5,1.0,0.2369,0.4,2025-09-08,2025-09-07 19:42:04
GODFRYPHLP.NS,0.9073,0.5205,0.2926,0.0919,0.1519,0.5225,0.4667,1.0,0.9215,0.6,2025-09-08,2025-09-07 19:42:04
LAURUSLABS.NS,0.8957,0.4138,0.2973,0.0267,0.2735,0.2947,0.5833,1.0,0.6267,0.2,2025-09-08,2025-09-07 19:42:04
GMDCLTD.NS,0.8945,0.77,0.2551,0.1954,0.1257,0.5608,0.5,1.0,0.4591,0.4,2025-09-08,2025-09-07 19:42:05
HEROMOTOCO.NS,0.8922,0.4331,0.2742,0.1406,0.226,0.2975,0.6,1.0,0.1471,0.4,2025-09-08,2025-09-07 19:42:04
TEGA.NS,0.8917,0.4202,0.4062,0.1209,0.2327,0.2915,0.5333,1.0,0.1604,-0.2,2025-09-08,2025-09-07 19:42:05
HYUNDAI.NS,0.8866,0.55,0.2058,0.1331,0.2072,0.3119,0.55,1.0,0.344,0.0,2025-09-08,2025-09-07 19:42:04
ECLERX.NS,0.8793,0.7075,0.2179,0.0705,0.111,0.3393,0.4667,1.0,0.2357,-0.2,2025-09-08,2025-09-07 19:42:05
JMFINANCIL.NS,0.8747,0.9262,0.1826,-0.0077,0.1518,0.6526,0.55,1.0,0.4028,0.2,2025-09-08,2025-09-07 19:42:05
DELHIVERY.NS,0.8742,0.8175,0.2214,0.0127,0.2604,0.5497,0.6167,0.5,0.3541,0.6,2025-09-08,2025-09-07 19:42:04
MAHSCOOTER.NS,0.8706,0.5528,0.1753,0.0543,0.1398,0.4321,0.5333,1.0,0.7668,0.4,2025-09-08,2025-09-07 19:42:05
RBLBANK.NS,0.8703,0.5279,0.1668,0.0999,0.1846,0.4204,0.5167,1.0,0.7525,0.6,2025-09-08,2025-09-07 19:42:05
PARADEEP.NS,0.8675,0.5175,0.2578,0.0093,0.0983,0.6993,0.4833,0.5,0.9209,0.2,2025-09-08,2025-09-07 19:42:05
FORTIS.NS,0.8624,0.4159,0.1985,0.0156,0.2739,0.2922,0.5833,1.0,0.4678,0.4,2025-09-08,2025-09-07 19:42:04
AIIL.NS,0.8573,0.914,0.1321,0.0306,0.1432,0.6699,0.55,1.0,0.9639,0.2,2025-09-08,2025-09-07 19:42:04
UNOMINDA.NS,0.8541,0.478,0.1989,0.1268,0.1821,0.2538,0.5,1.0,0.2408,0.4,2025-09-08,2025-09-07 19:42:04
LTF.NS,0.8508,0.4768,0.1186,0.1411,0.2208,0.3744,0.5333,1.0,0.6644,0.4,2025-09-08,2025-09-07 19:42:04
FORCEMOT.NS,0.8475,0.9927,0.2529,-0.1012,0.1545,0.807,0.5333,0.0,1.53,0.2,2025-09-08,2025-09-07 19:42:05
ABDL.NS,0.8438,0.6385,0.1644,0.0222,0.1598,0.299,0.55,0.5,0.5746,0.0,2025-09-08,2025-09-07 19:42:05
GVT&D.NS,0.8431,0.9805,0.174,-0.0314,0.146,0.5128,0.4833,0.5,0.5275,0.4,2025-09-08,2025-09-07 19:42:04
TVSMOTOR.NS,0.8413,0.3447,0.1875,0.1515,0.2828,0.3185,0.5833,1.0,0.4309,0.4,2025-09-08,2025-09-07 19:42:04
ENDURANCE.NS,0.8406,0.5398,0.124,0.1318,0.1309,0.2787,0.4667,1.0,0.2321,0.0,2025-09-08,2025-09-07 19:42:04
TRANSRAILL.NS,0.8378,0.5568,0.2068,-0.0324,0.1132,0.2629,0.5167,0.5,0.0,0.0,2025-09-08,2025-09-07 19:42:05
STARCEMENT.NS,0.8348,0.3155,0.3798,0.015,0.2423,0.2267,0.55,1.0,0.6621,0.2,2025-09-08,2025-09-07 19:42:05
CRAFTSMAN.NS,0.833,0.4853,0.2511,-0.0357,0.2169,0.204,0.55,0.5,0.3717,0.2,2025-09-08,2025-09-07 19:42:05
VMM.NS,0.8325,0.4161,0.1479,0.0371,0.1933,0.2775,0.5667,1.0,0.0,0.7778,2025-09-08,2025-09-07 19:42:04
NAVA.NS,0.8319,0.4005,0.1609,0.1698,0.1421,0.3502,0.45,1.0,0.3375,0.0,2025-09-08,2025-09-07 19:42:05
CCL.NS,0.8314,0.4952,0.0965,0.0629,0.0956,0.2903,0.45,1.0,0.1578,0.0,2025-09-08,2025-09-07 19:42:05
ACMESOLAR.NS,0.8282,0.4317,0.1992,0.0691,0.1365,0.2369,0.4667,1.0,0.1404,0.0,2025-09-08,2025-09-07 19:42:05
GALLANTT.NS,0.8255,0.4178,0.1876,-0.0264,0.169,0.5267,0.5,0.5,0.974,0.2,2025-09-08,2025-09-07 19:42:05
METROPOLIS.NS,0.8245,0.3416,0.3041,0.0404,0.1836,0.1918,0.5667,1.0,0.018,0.0,2025-09-08,2025-09-07 19:42:05
ZYDUSWELL.NS,0.8222,0.3911,0.2023,0.2571,0.182,0.2392,0.4833,1.0,0.225,0.2,2025-09-08,2025-09-07 19:42:05
GLENMARK.NS,0.8145,0.4919,0.186,0.0047,0.1651,0.2221,0.5,0.5,0.3491,0.2,2025-09-08,2025-09-07 19:42:04
NYKAA.NS,0.8143,0.3074,0.1748,0.1295,0.2108,0.2832,0.6,1.0,0.4271,0.6,2025-09-08,2025-09-07 19:42:04
GPIL.NS,0.8128,0.2551,0.2921,0.1967,0.2132,0.2269,0.5667,1.0,0.2927,0.4,2025-09-08,2025-09-07 19:42:05
OLECTRA.NS,0.8121,0.2945,0.2848,0.0399,0.1562,0.221,0.5,1.0,-0.0278,0.0,2025-09-08,2025-09-07 19:42:05
CHOICEIN.NS,0.8112,0.4766,0.1016,-0.0171,0.135,0.3539,0.4833,0.5,0.4858,0.2,2025-09-08,2025-09-07 19:42:05
POLYCAB.NS,0.8106,0.3874,0.1197,0.0391,0.2312,0.2573,0.6,1.0,0.0339,-0.4,2025-09-08,2025-09-07 19:42:04
