stock,company_name,market_cap,sector,industry,exchange,dividend_yield,roce,roe,last_updated
RELIANCE.NS,RELIANCE INDUSTRIES LIMITED,1904193,Energy,Oil & Gas Refining & Marketing,NSE,0.4,0.0,0.0,2025-09-07 00:42:13
TCS.NS,TATA CONSULTANCY SERVICES LIMITED,1540674,Technology,Information Technology Services,NSE,2.0,0.0,0.0,2025-09-07 00:42:14
HDFCBANK.NS,HDFC BANK LIMITED,1299105,Financial Services,Banks - Regional,NSE,1.14,0.0,0.0,2025-09-07 00:42:14
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,895607,Communication Services,Telecom Services,NSE,0.84,0.0,0.0,2025-09-07 00:42:15
ICICIBANK.NS,ICICI BANK LIMITED,884123,Financial Services,Banks - Regional,NSE,0.78,0.0,0.0,2025-09-07 00:42:15
INFY.NS,INFOSYS LIMITED,772677,Technology,Information Technology Services,NSE,4.36,0.0,0.0,2025-09-07 00:42:16
SBIN.NS,STATE BANK OF INDIA,734990,Financial Services,Banks - Regional,NSE,1.97,0.0,0.0,2025-09-07 00:42:16
LICI.NS,LIFE INSURANCE CORPORATION OF INDIA,632603,Financial Services,Insurance - Life,NSE,1.37,0.0,0.0,2025-09-07 00:42:16
HINDUNILVR.NS,HINDUSTAN UNILEVER LIMITED,622434,Consumer Defensive,Household & Personal Products,NSE,1.82,0.0,0.0,2025-09-07 00:42:17
ITC.NS,ITC LIMITED,606839,Consumer Defensive,Tobacco,NSE,3.85,0.0,0.0,2025-09-07 00:42:17
LT.NS,LARSEN & TOUBRO LIMITED,499720,Industrials,Engineering & Construction,NSE,0.96,0.0,0.0,2025-09-07 00:42:18
HCLTECH.NS,HCL TECHNOLOGIES LIMITED,478225,Technology,Information Technology Services,NSE,3.81,0.0,0.0,2025-09-07 00:42:18
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,432370,Financial Services,Credit Services,NSE,0.47,0.0,0.0,2025-09-07 00:42:19
SUNPHARMA.NS,SUN PHARMACEUTICAL INDUSTRIES LIMITED,428209,Healthcare,Drug Manufacturers - Specialty & Generic,NSE,1.0,0.0,0.0,2025-09-07 00:42:19
NTPC.NS,NTPC LIMITED,381080,Utilities,Utilities - Regulated Electric,NSE,3.53,0.0,0.0,2025-09-07 00:42:20
MARUTI.NS,MARUTI SUZUKI INDIA LIMITED,376554,Consumer Cyclical,Auto Manufacturers,NSE,0.91,0.0,0.0,2025-09-07 00:42:20
AXISBANK.NS,AXIS BANK LIMITED,365271,Financial Services,Banks - Regional,NSE,0.09,0.0,0.0,2025-09-07 00:42:21
ONGC.NS,OIL & NATURAL GAS CORPORATION LIMITED,361978,Energy,Oil & Gas Integrated,NSE,6.3,0.0,0.0,2025-09-07 00:42:21
M&M.NS,MAHINDRA & MAHINDRA LIMITED,359828,Consumer Cyclical,Auto Manufacturers,NSE,0.71,0.0,0.0,2025-09-07 00:42:22
KOTAKBANK.NS,KOTAK MAHINDRA BANK LIMITED,356869,Financial Services,Banks - Regional,NSE,0.13,0.0,0.0,2025-09-07 00:42:22
TATAMOTORS.NS,TATA MOTORS LIMITED,331164,Consumer Cyclical,Auto Manufacturers,NSE,0.87,0.0,0.0,2025-09-07 00:42:23
ADANIENT.NS,ADANI ENTERPRISES LIMITED,330495,Energy,Thermal Coal,NSE,0.06,0.0,0.0,2025-09-07 00:42:23
ULTRACEMCO.NS,ULTRATECH CEMENT LIMITED,330469,Basic Materials,Building Materials,NSE,0.62,0.0,0.0,2025-09-07 00:42:24
POWERGRID.NS,POWER GRID CORPORATION OF INDIA LIMITED,309534,Utilities,Utilities - Regulated Electric,NSE,4.12,0.0,0.0,2025-09-07 00:42:24
HAL.NS,HINDUSTAN AERONAUTICS LIMITED,307847,Industrials,Aerospace & Defense,NSE,0.68,0.0,0.0,2025-09-07 00:42:24
TITAN.NS,TITAN COMPANY LIMITED,304652,Consumer Cyclical,Luxury Goods,NSE,0.3,0.0,0.0,2025-09-07 00:42:25
ADANIPORTS.NS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,301097,Industrials,Marine Shipping,NSE,0.53,0.0,0.0,2025-09-07 00:42:25
DMART.NS,AVENUE SUPERMARTS LIMITED,292231,Consumer Defensive,Discount Stores,NSE,0.0,0.0,0.0,2025-09-07 00:42:26
COALINDIA.NS,COAL INDIA LIMITED,290593,Energy,Thermal Coal,NSE,8.15,0.0,0.0,2025-09-07 00:42:26
WIPRO.NS,WIPRO LIMITED,287020,Technology,Information Technology Services,NSE,4.51,0.0,0.0,2025-09-07 00:42:26
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,282532,Consumer Cyclical,Auto Manufacturers,NSE,2.31,0.0,0.0,2025-09-07 00:42:27
ASIANPAINT.NS,ASIAN PAINTS LIMITED,277878,Basic Materials,Specialty Chemicals,NSE,0.96,0.0,0.0,2025-09-07 00:42:27
BAJAJFINSV.NS,BAJAJ FINSERV LIMITED,271579,Financial Services,Financial Conglomerates,NSE,0.05,0.0,0.0,2025-09-07 00:42:27
ADANIGREEN.NS,ADANI GREEN ENERGY LIMITED,259739,Utilities,Utilities - Renewable,NSE,0.0,0.0,0.0,2025-09-07 00:42:28
SIEMENS.NS,SIEMENS LIMITED,254990,Industrials,Specialty Industrial Machinery,NSE,0.39,0.0,0.0,2025-09-07 00:42:28
ADANIPOWER.NS,ADANI POWER LIMITED,240818,Utilities,Utilities - Independent Power Producers,NSE,0.0,0.0,0.0,2025-09-07 00:42:29
TRENT.NS,TRENT LIMITED,240303,Consumer Cyclical,Apparel Retail,NSE,0.09,0.0,0.0,2025-09-07 00:42:29
NESTLEIND.NS,NESTLE INDIA LIMITED,234268,Consumer Defensive,Packaged Foods,NSE,1.65,0.0,0.0,2025-09-07 00:42:30
