stock,total_score,raw_momentum_6m,raw_momentum_3m,raw_momentum_1m,volatility_adjusted_6m,volatility_adjusted_3m,volatility_adjusted_1m,relative_strength_6m,relative_strength_3m,relative_strength_1m,trend_score,volume_score,calculated_at
RELIANCE,59.1536,21.0974,16.0947,-3.5918,16.8779,12.8758,-2.8734,17.7461,23.6614,17.7461,11.8307,5.9154,2025-09-08 04:37:29.916291
TCS,14.0075,-5.7842,2.3493,16.7405,-4.6274,1.8795,13.3924,4.2022,5.603,4.2022,2.8015,1.4007,2025-09-08 04:37:29.916328
HDFCBANK,24.479,15.5245,-1.8275,6.6456,12.4196,-1.462,5.3164,7.3437,9.7916,7.3437,4.8958,2.4479,2025-09-08 04:37:29.916355
INFY,20.8355,-8.3319,-1.9812,-3.4961,-6.6655,-1.5849,-2.7969,6.2507,8.3342,6.2507,4.1671,2.0836,2025-09-08 04:37:29.916371
HINDUNILVR,94.6451,-8.7341,-4.9226,-7.0245,-6.9873,-3.9381,-5.6196,28.3935,37.8581,28.3935,18.929,9.4645,2025-09-08 04:37:29.916386
ITC,50.0919,1.4798,-14.7776,-1.228,1.1839,-11.8221,-0.9824,15.0276,20.0368,15.0276,10.0184,5.0092,2025-09-08 04:37:29.916401
WIPRO,85.2806,21.1888,3.888,11.2719,16.9511,3.1104,9.0175,25.5842,34.1122,25.5842,17.0561,8.5281,2025-09-08 04:37:29.916415
BHARTIARTL,27.4677,-1.29,7.303,0.6208,-1.032,5.8424,0.4967,8.2403,10.9871,8.2403,5.4935,2.7468,2025-09-08 04:37:29.916429
SBIN,7.1807,26.1702,24.8275,2.992,20.9362,19.862,2.3936,2.1542,2.8723,2.1542,1.4361,0.7181,2025-09-08 04:37:29.916443
KOTAKBANK,29.4831,-12.1024,4.8132,-3.4686,-9.6819,3.8506,-2.7749,8.8449,11.7933,8.8449,5.8966,2.9483,2025-09-08 04:37:29.916457
LT,59.8783,23.6483,3.572,9.6611,18.9186,2.8576,7.7289,17.9635,23.9513,17.9635,11.9757,5.9878,2025-09-08 04:37:29.916471
MARUTI,63.1049,12.4267,7.6054,-9.3702,9.9414,6.0843,-7.4962,18.9315,25.242,18.9315,12.621,6.3105,2025-09-08 04:37:29.916484
ASIANPAINT,71.0219,-1.8954,-3.2144,3.152,-1.5163,-2.5715,2.5216,21.3066,28.4087,21.3066,14.2044,7.1022,2025-09-08 04:37:29.916497
NESTLEIND,86.0528,3.095,-6.0572,19.1164,2.476,-4.8458,15.2932,25.8158,34.4211,25.8158,17.2106,8.6053,2025-09-08 04:37:29.916511
BAJFINANCE,79.5338,2.3934,6.9332,-0.2206,1.9147,5.5465,-0.1765,23.8601,31.8135,23.8601,15.9068,7.9534,2025-09-08 04:37:29.916525
TITAN,9.9131,-7.2669,9.2898,-2.6725,-5.8135,7.4319,-2.138,2.9739,3.9653,2.9739,1.9826,0.9913,2025-09-08 04:37:29.916538
ULTRACEMCO,32.8678,13.2734,21.6796,6.3179,10.6187,17.3437,5.0543,9.8603,13.1471,9.8603,6.5736,3.2868,2025-09-08 04:37:29.916551
SUNPHARMA,91.5548,15.1724,15.187,-6.2765,12.1379,12.1496,-5.0212,27.4664,36.6219,27.4664,18.311,9.1555,2025-09-08 04:37:29.916565
TECHM,35.1984,7.9397,-5.0365,2.7273,6.3518,-4.0292,2.1818,10.5595,14.0793,10.5595,7.0397,3.5198,2025-09-08 04:37:29.916578
POWERGRID,5.9622,15.9121,0.6768,7.3957,12.7297,0.5414,5.9165,1.7886,2.3849,1.7886,1.1924,0.5962,2025-09-08 04:37:29.916591
HCLTECH,70.4288,-17.5878,11.982,-0.0699,-14.0703,9.5856,-0.0559,21.1287,28.1715,21.1287,14.0858,7.0429,2025-09-08 04:37:29.916604
AXISBANK,37.6049,1.4734,13.6813,12.9414,1.1788,10.9451,10.3531,11.2815,15.042,11.2815,7.521,3.7605,2025-09-08 04:37:29.916617
ONGC,38.3178,15.4558,23.1703,-8.9757,12.3646,18.5362,-7.1806,11.4953,15.3271,11.4953,7.6636,3.8318,2025-09-08 04:37:29.916630
NTPC,1.4274,-3.1732,3.1871,11.2487,-2.5385,2.5497,8.999,0.4282,0.571,0.4282,0.2855,0.1427,2025-09-08 04:37:29.916643
COALINDIA,34.068,-5.361,2.7078,13.4615,-4.2888,2.1662,10.7692,10.2204,13.6272,10.2204,6.8136,3.4068,2025-09-08 04:37:29.916656
M&M,30.8061,19.116,-10.4108,12.6512,15.2928,-8.3287,10.121,9.2418,12.3225,9.2418,6.1612,3.0806,2025-09-08 04:37:29.916670
TATAMOTORS,92.5316,-7.6879,14.7716,10.469,-6.1504,11.8173,8.3752,27.7595,37.0126,27.7595,18.5063,9.2532,2025-09-08 04:37:29.916683
ADANIPORTS,45.5136,11.7559,3.4069,-4.0031,9.4047,2.7255,-3.2025,13.6541,18.2054,13.6541,9.1027,4.5514,2025-09-08 04:37:29.916695
JSWSTEEL,15.2425,-14.2441,-4.5377,5.2941,-11.3953,-3.6302,4.2353,4.5728,6.097,4.5728,3.0485,1.5243,2025-09-08 04:37:29.916708
TATASTEEL,38.3541,-8.6739,-6.4458,6.868,-6.9391,-5.1566,5.4944,11.5062,15.3416,11.5062,7.6708,3.8354,2025-09-08 04:37:29.916721
DRREDDY,44.8547,-7.5565,16.9577,0.7575,-6.0452,13.5661,0.606,13.4564,17.9419,13.4564,8.9709,4.4855,2025-09-08 04:37:29.916734
CIPLA,32.378,-13.203,4.3413,6.1175,-10.5624,3.4731,4.894,9.7134,12.9512,9.7134,6.4756,3.2378,2025-09-08 04:37:29.916747
