stock,company_name,market_cap,sector,industry,exchange,dividend_yield,roce,roe,last_updated
RELIANCE,RELIANCE Ltd,899697563490,Real Estate,Construction Materials,NSE,2.46,18.69,17.72,2025-09-08 04:37:22.865778
TCS,TCS Ltd,16433939397019,Utilities,Water,NSE,2.15,29.82,37.84,2025-09-08 04:37:22.865778
HDFCBANK,HDFCBANK Ltd,4450602260232,Telecommunications,Internet Services,NSE,0.75,37.86,28.48,2025-09-08 04:37:22.865778
INFY,INFY Ltd,19186065185818,Media,Advertising,NSE,2.63,8.05,39.09,2025-09-08 04:37:22.865778
HINDUNILVR,HINDUNILVR Ltd,12071316817807,Materials,Chemicals,NSE,3.3,43.99,14.52,2025-09-08 04:37:22.865778
ITC,ITC Ltd,10594055814733,Telecommunications,Internet Services,NSE,3.97,44.68,38.7,2025-09-08 04:37:22.865778
WIPRO,WIPRO Ltd,5075638783633,Consumer Goods,Apparel,NSE,3.91,9.8,33.33,2025-09-08 04:37:22.865778
BHARTIARTL,BHARTIARTL Ltd,17315843444416,Industrials,Machinery,NSE,3.37,43.54,34.34,2025-09-08 04:37:22.865778
SBIN,SBIN Ltd,10505829053618,Consumer Discretionary,Real Estate,NSE,0.78,38.29,38.35,2025-09-08 04:37:22.865778
KOTAKBANK,KOTAKBANK Ltd,8418965693229,Agriculture,Pesticides,NSE,1.65,39.95,27.86,2025-09-08 04:37:22.865778
LT,LT Ltd,3778364836112,Financial Services,Insurance,NSE,2.57,10.78,19.44,2025-09-08 04:37:22.865778
MARUTI,MARUTI Ltd,16680268880392,Media,Digital Media,NSE,2.98,28.38,13.63,2025-09-08 04:37:22.865778
ASIANPAINT,ASIANPAINT Ltd,197340451096,Materials,Cement,NSE,1.79,8.89,31.5,2025-09-08 04:37:22.865778
NESTLEIND,NESTLEIND Ltd,4310505482671,Real Estate,Construction Materials,NSE,3.96,16.28,36.32,2025-09-08 04:37:22.865778
BAJFINANCE,BAJFINANCE Ltd,15721350922680,Media,Advertising,NSE,2.94,37.93,6.59,2025-09-08 04:37:22.865778
TITAN,TITAN Ltd,12420797558446,Materials,Mining,NSE,2.78,38.95,17.84,2025-09-08 04:37:22.865778
ULTRACEMCO,ULTRACEMCO Ltd,16875254367946,Utilities,Power Generation,NSE,3.25,32.84,31.94,2025-09-08 04:37:22.865778
SUNPHARMA,SUNPHARMA Ltd,5997156899889,Utilities,Water,NSE,1.07,18.36,37.05,2025-09-08 04:37:22.865778
TECHM,TECHM Ltd,3125145855123,Media,Broadcasting,NSE,2.19,22.0,31.76,2025-09-08 04:37:22.865778
